null	No.	OK	change	protein name	old
R00	489			ATP-dependent zinc metalloprotease FtsH	ATP-dependent metalloprotease FtsH
R00	490			Signal recognition particle receptor FtsY	Signal recognition particle receptor protein FtsY (alpha subunit)
R00	491			1,4-alpha-glucan branching enzyme GlgB	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type
R00	492			Putative gluconeogenesis factor	2-phospho-L-lactate transferase like, CofD-like
R00	493			Glutamine synthetase	glutamine synthetase, type I
R00	494			4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
R00	495			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	glucose-inhibited division protein A
R00	496			tRNA modification GTPase MnmE	tRNA modification GTPase TrmE
R00	497			Putative manganese efflux pump MntP	putative membrane protein
R00	498			NAD(P)H-quinone oxidoreductase subunit 2	proton-translocating NADH-quinone oxidoreductase, chain N
R00	499			Protein PatA	PatA subfamily
R00	500			Phosphonates import ATP-binding protein PhnC	phosphonate ABC transporter, ATP-binding protein
R00	501			Release factor glutamine methyltransferase	protein-(glutamine-N5) methyltransferase, release factor-specific
R00	502			Phosphate acyltransferase	Phosphate:acyl-ACP acyltransferase PlsX
R00	503			Photosystem II reaction center protein I	Photosystem II reaction centre I protein (PSII 4.8 kDa protein)
R00	504			Photosystem II 12 kDa extrinsic protein	Photosystem II 12 kDa extrinsic protein (PsbU)
R00	505			Phosphoribosylformylglycinamidine synthase subunit PurL	phosphoribosylformylglycinamidine synthase II
R00	506			Ribosome-recycling factor	Ribosome recycling factor
R00	507			Adaptive-response sensory-kinase SasA	histidine kinase,KaiB domain-containing protein,histidine kinase
R00	508			Protein translocase subunit SecD	protein-export membrane protein, SecD/SecF family
R00	509			Protease 4	Peptidase S49, protease IV
R00	510			Sec-independent protein translocase protein TatA	Twin-arginine translocation protein TatA
R00	511			Isoleucine--tRNA ligase	Isoleucyl-tRNA synthetase
R00	512			DNA topoisomerase 1	DNA topoisomerase I
R00	513			tRNA pseudouridine synthase B	tRNA pseudouridine 55 synthase
R00	514			tRNA pseudouridine synthase A	pseudouridylate synthase I
R00	515			Urease subunit alpha	Urease alpha subunit
R00	516			Urease subunit beta	Urease beta subunit
R00	517			Putative pre-16S rRNA nuclease	RNAse H-fold protein YqgF
R00	518			Superoxide dismutase	Superoxide dismutase [Fe]
R00	519			Pyruvate dehydrogenase E1 component subunit alpha	Pyruvate dehydrogenase E1 component alpha subunit
R00	520			Histidine kinase	signal transduction histidine kinase
R00	521			Histidine kinase	putative sensor protein/domain protein
R00	522			Histidine kinase	PAS domain S-box
R00	523			Histidine kinase	histidine kinase
R00	524			mRNA interferase	growth inhibitor
R00	525			NAD kinase	putative sugar kinase
R00	526			tRNA-dihydrouridine synthase	putative TIM-barrel protein, nifR3 family
R00	527			Magnesium transporter MgtE	Mg/Co/Ni transporter MgtE / CBS domain
R00	528			DNA repair protein radA	DNA repair protein RadA
R00	529			Endoglucanase	Endoglucanase E-4 precursor (Endo-1,4-beta-glucanase E-4) (Cellulase E-4) (Cellulase E4)
R00	530			L-threonine dehydratase	Threonine dehydratase biosynthetic
R00	531			Ribonucleoside-diphosphate reductase	Ribonucleotide reductase of class Ia (aerobic), alpha subunit
R00	532			Ribonucleoside-diphosphate reductase	ribonucleoside-diphosphate reductase, alpha subunit
U00	533			Molybdenum transport system permease protein ModB / Molybdenum transport ATP-binding protein ModC	Molybdenum transport system permease protein ModB
U02	534			hypothetical protein	Protein of unknown function UPF0153
U02	535			hypothetical protein	Protein of unknown function DUF490
U02	536			hypothetical protein	hypothetical protein YCF84
U02	537			hypothetical protein	Hypothetical protein
U02	538			hypothetical protein	Hypothetical protein YggS
U02	539			hypothetical protein	conserved hypothetical protein DUF403
U02	540			hypothetical protein	conserved hypothetical protein, truncation
R00	541			Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit
R00	542			Aldehyde decarbonylase	conserved hypothetical protein
R00	543			Probable aspartoacylase	Aspartoacylase
R00	544			Molybdenum cofactor guanylyltransferase	molybdenum cofactor biosynthesis protein C
R00	545			ATP-dependent Clp protease proteolytic subunit	putative ATP-dependent Clp protease, proteolytic subunit ClpP
R00	546			Phosphoadenosine phosphosulfate reductase	phosophoadenylyl-sulfate reductase
R00	547			Chaperone protein DnaK	chaperone protein DnaK
R00	548			Dihydrolipoyl dehydrogenase	dihydrolipoamide dehydrogenase
R00	549			Exodeoxyribonuclease 7 large subunit	exodeoxyribonuclease VII, large subunit
R00	550			Elongation factor P	Translation elongation factor P
R00	551			GTPase Era	GTP-binding protein Era
R00	552			Endonuclease III	endonuclease III
R00	553			Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	Aspartyl-tRNA(Asn) amidotransferase subunit B / Glutamyl-tRNA(Gln) amidotransferase subunit B
R00	554			Glucose-6-phosphate 1-dehydrogenase	glucose-6-phosphate 1-dehydrogenase
R00	555			Aminomethyltransferase	glycine cleavage system T protein
R00	556			Glutamyl-tRNA(Gln) amidotransferase subunit A	Aspartyl-tRNA(Asn) amidotransferase subunit A / Glutamyl-tRNA(Gln) amidotransferase subunit A
R00	557			Glucose-1-phosphate adenylyltransferase	glucose-1-phosphate adenylyltransferase
R00	558			Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	glucosamine--fructose-6-phosphate aminotransferase, isomerizing
R00	559			Oxygen-dependent coproporphyrinogen-III oxidase	coproporphyrinogen III oxidase, aerobic
R00	560			DNA gyrase subunit A	DNA gyrase, A subunit
R00	561			Glutathione synthetase	glutathione synthase
R00	562			Porphobilinogen deaminase	porphobilinogen deaminase
R00	563			Translation initiation factor IF-3	translation initiation factor IF-3
R00	564			Ribosomal silencing factor RsfS	iojap protein
R00	565			Homoserine kinase	homoserine kinase
R00	566			Lipoyl synthase	lipoic acid synthetase
R00	567			o-succinylbenzoate synthase	O-succinylbenzoate synthetase
R00	568			UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	UDP-3-0-acyl N-acetylglucosamine deacetylase
R00	569			Transcription-repair-coupling factor	transcription-repair coupling factor
R00	570			Octanoyltransferase	Octanoate-[acyl-carrier-protein]-protein-N-octan oyltransferase
R00	571			Peptide methionine sulfoxide reductase MsrA	methionine-S-sulfoxide reductase
R00	572			Peptide methionine sulfoxide reductase MsrB	methionine-R-sulfoxide reductase
R00	573			S-methyl-5'-thioadenosine phosphorylase	5'-methylthioadenosine phosphorylase
R00	574			Cysteine desulfurase	cysteine desulfurase, SufS family
R00	575			NAD(P)H-quinone oxidoreductase subunit N	Putative subunit of NAD(P)H:quinone oxidoreductase
R00	576			Transcriptional repressor NrdR	Ribonucleotide reductase transcriptional regulator NrdR
R00	577			NAD(P)H-quinone oxidoreductase subunit 4L	NADH dehydrogenase subunit 4L
R00	578			Transcription termination/antitermination protein NusG	transcription termination/antitermination factor NusG
R00	579			Cytochrome b6-f complex subunit 4	Cytochrome b6-f complex subunit IV (PetD)
R00	580			Protein PatA	response regulator
R00	581			Phycocyanobilin:ferredoxin oxidoreductase	Phycocyanobilin:ferredoxin oxidoreductase PcyA
R00	582			Cytochrome b6-f complex subunit 5	Cytochrome b6-f complex subunit V (PetG)
R00	583			Probable phosphoketolase	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase family protein
R00	584			Primosomal protein N'	primosomal protein N'
R00	585			Phosphoenolpyruvate synthase	phosphoenolpyruvate synthase
R00	586			Photosystem II CP43 reaction center protein	photosystem II 44 kDa subunit reaction center protein
R00	587			Photosystem II CP47 reaction center protein	photosystem II P680 chlorophyll A apoprotein
R00	588			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	Phycobilisome small core linker polypeptide
R00	589			Dihydroorotate dehydrogenase (quinone)	Dihydroorotate dehydrogenase
R00	590			N5-carboxyaminoimidazole ribonucleotide mutase	phosphoribosylaminoimidazole carboxylase, catalytic subunit
R00	591			Phosphoribosylamine--glycine ligase	phosphoribosylamine--glycine ligase
R00	592			Ribosomal protein S12 methylthiotransferase RimO	Ribosomal protein S12p Asp88 methylthiotransferase
R00	593			50S ribosomal protein L11	LSU ribosomal protein L11p (L12e)
R00	594			Ribosome maturation factor RimP	transcription termination protein NusA-like protein
R00	595			50S ribosomal protein L17	LSU ribosomal protein L17p
R00	596			50S ribosomal protein L19	LSU ribosomal protein L19p
R00	597			50S ribosomal protein L29	LSU ribosomal protein L29p (L35e)
R00	598			50S ribosomal protein L2	LSU ribosomal protein L2p (L8e)
R00	599			50S ribosomal protein L3	LSU ribosomal protein L3p (L3e)
R00	600			DNA-directed RNA polymerase subunit beta'	DNA-directed RNA polymerase delta (beta) subunit
R00	601			Ribosome-recycling factor	ribosome recycling factor
R00	602			30S ribosomal protein S14	SSU ribosomal protein S14p (S29e) / SSU ribosomal protein S14p (S29e), zinc-independent
R00	603			30S ribosomal protein S5	ribosomal protein S5
R00	604			30S ribosomal protein S13	SSU ribosomal protein S13p (S18e)
R00	605			Protein translocase subunit SecE	Preprotein translocase subunit SecE
R00	606			Protein translocase subunit SecE	preprotein translocase, SecE subunit
R00	607			Putative ribosome biogenesis GTPase RsgA	ribosome small subunit-dependent GTPase A
R00	608			Protein translocase subunit SecD	Protein-export membrane protein SecD
R00	609			Ribosomal RNA small subunit methyltransferase A	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
R00	610			Crossover junction endodeoxyribonuclease RuvC	crossover junction endodeoxyribonuclease RuvC
R00	611			Glutamate--tRNA ligase	Glutamyl-tRNA synthetase / Glutamyl-tRNA(Gln) synthetase
R00	612			Putative tRNA (cytidine(34)-2'-O)-methyltransferase	tRNA (cytidine(34)-2'-O)-methyltransferase TrmL
R00	613			Cytochrome b6-f complex iron-sulfur subunit	Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein)
R00	614			N-(5'-phosphoribosyl)anthranilate isomerase	Phosphoribosylanthranilate isomerase
R00	615			Tryptophan synthase alpha chain	tryptophan synthase, alpha subunit
R00	616			Tryptophan synthase beta chain	tryptophan synthase, beta subunit
R00	617			UvrABC system protein A	Excinuclease ABC subunit A
R00	618			Urease subunit gamma	Urease gamma subunit
R00	619			Threonylcarbamoyl-AMP synthase	Sua5/YciO/YrdC/YwlC family protein
R00	620			Ycf48-like protein	Photosystem II stability/assembly factor
R00	621			Putative membrane protein insertion efficiency factor	Protein YidD
R00	622			CRISPR-associated endoribonuclease Cas2	CRISPR-associated protein Cas2
R00	623			Methionine aminopeptidase	methionine aminopeptidase, type I
R00	624			Thioredoxin	thioredoxin
R00	625			Nitrogenase protein alpha chain	nitrogenase molybdenum-iron protein alpha chain
R00	626			Delta-aminolevulinic acid dehydratase	Porphobilinogen synthase
R00	627			Lysozyme	Muramidase (phage lambda lysozyme)
R00	628			Ferredoxin--NADP reductase	ferredoxin--NADP reductase
R00	629			6-carboxy-5,6,7,8-tetrahydropterin synthase	Queuosine biosynthesis QueD, PTPS-I
R00	630			Anti-sigma factor antagonist	anti-anti-sigma factor
R00	631			Histidine kinase	Circadian input kinase A
R00	632			Histidine kinase	sensor histidine kinase
R00	633			Histidine kinase	sensory box histidine kinase
R00	634			Signal peptidase I	signal peptidase I
R00	635			RNA polymerase sigma factor	Group 2 RNA polymerase sigma factor / Cyanobacteria-specific RpoD-like sigma factor, type-7
R00	636			RNA polymerase sigma factor	RNA polymerase sigma-70 factor family
R00	637			CRISPR-associated endonuclease Cas1	CRISPR-associated protein Cas1
R00	638			Putative Holliday junction resolvase	conserved hypothetical protein
R00	639			NAD kinase	NAD(+)/NADH kinase
R00	640			GTPase HflX	GTP-binding protein
R00	641			tRNA-dihydrouridine synthase	dihydrouridine synthase family protein
R00	642			Phospho-2-dehydro-3-deoxyheptonate aldolase	phospho-2-dehydro-3-deoxyheptonate aldolase
R00	643			DNA helicase	UvrD/REP helicase domain protein
R00	644			Transport permease protein	putative multidrug efflux ABC transporter
R00	645			Glyceraldehyde-3-phosphate dehydrogenase	glyceraldehyde-3-phosphate dehydrogenase, type I
R00	646			Enoyl-[acyl-carrier-protein] reductase [NADH]	enoyl-[acyl-carrier-protein] reductase
R00	647			Phosphate-specific transport system accessory protein PhoU	phosphate transport system regulatory protein PhoU
R00	648			Pseudouridine synthase	RNA pseudouridine synthase family protein
R00	649			Pseudouridine synthase	pseudouridine synthase, RluA family
R00	650			Alanine dehydrogenase	alanine dehydrogenase
R00	651			Methylenetetrahydrofolate reductase	methylenetetrahydrofolate reductase family protein
R00	652			Citrate synthase	Citrate synthase (si)
R00	653			Citrate synthase	2-methylcitrate synthase/citrate synthase II
R00	654			Beta-N-acetylhexosaminidase	Beta-hexosaminidase
R00	655			Phosphoribulokinase	phosphoribulokinase
R00	656			Transcription termination/antitermination protein NusA	transcription termination factor NusA
R00	657			Nicotinate phosphoribosyltransferase	putative nicotinate phosphoribosyltransferase
R00	658			Laccase domain protein	hypothetical protein
R00	659			Anaerobic ribonucleoside-triphosphate reductase-activating protein	anaerobic ribonucleotide reductase activating protein
R00	660			Lactoylglutathione lyase	lactoylglutathione lyase
R00	661			Cyclic pyranopterin phosphate synthase	molybdenum cofactor biosynthesis protein A
R00	662			Acylphosphatase	putative acylphosphatase
R00	663			Ferroxidase	Bacterioferritin
R00	664			Alkyl hydroperoxide reductase AhpD	carboxymuconolactone decarboxylase family protein
R00	665			5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 2	MTA/SAH nucleosidase
U02	666			hypothetical protein	conserved hypothetical protein TIGR00159
U02	667			hypothetical protein	conserved hypothetical protein TIGR00247
U02	668			hypothetical protein	protein of unknown function DUF6 transmembrane
U02	669			hypothetical protein	protein of unknown function DUF202
U02	670			hypothetical protein	Protein of unknown function DUF1980
U02	671			hypothetical protein	protein of unknown function DUF344
U02	672			hypothetical protein	protein of unknown function DUF820
U02	673			hypothetical protein	protein of unknown function DUF1092
U02	674			hypothetical protein	protein of unknown function DUF955
U02	675			hypothetical protein	protein of unknown function DUF1517
U02	676			hypothetical protein	Domain of unknown function DUF1815
U02	677			hypothetical protein	protein of unknown function DUF29
U02	678			hypothetical protein	6-pyruvoyl tetrahydropterin synthase and hypothetical protein
U02	679			hypothetical protein	protein of unknown function DUF1206
U02	680			hypothetical protein	protein of unknown function UPF0016
U02	681			hypothetical protein	protein of unknown function UPF0153
U02	682			hypothetical protein	protein of unknown function DUF214
U02	683			hypothetical protein	protein of unknown function DUF901
U02	684			hypothetical protein	Protein of unknown function DUF2231, transmembrane
U02	685			hypothetical protein	Protein of unknown function DUF2442
U02	686			hypothetical protein	protein of unknown function DUF1350
U02	687			hypothetical protein	protein of unknown function DUF790
U02	688			hypothetical protein	protein of unknown function DUF433
U02	689			hypothetical protein	protein of unknown function DUF323
U02	690			hypothetical protein	Protein of unknown function DUF2358
U02	691			hypothetical protein	Domain of unknown function DUF1995
U02	692			hypothetical protein	protein of unknown function DUF21
U02	693			hypothetical protein	protein of unknown function UPF0118
U02	694			hypothetical protein	protein of unknown function DUF1361
U02	695			hypothetical protein	Protein of unknown function DUF2495
U02	696			hypothetical protein	protein of unknown function DUF552
U02	697			hypothetical protein	protein of unknown function UPF0187
U02	698			hypothetical protein	protein of unknown function DUF87
U02	699			hypothetical protein	protein of unknown function DUF403
U02	700			hypothetical protein	protein of unknown function DUF218
U02	701			hypothetical protein	Protein of unknown function DUF2294
U02	702			hypothetical protein	Protein of unknown function DUF2555
U02	703			hypothetical protein	Protein of unknown function DUF2283
U02	704			hypothetical protein	protein of unknown function UPF0027
U02	705			hypothetical protein	protein of unknown function DUF922
U02	706			hypothetical protein	domain of unknown function DUF1738
U02	707			hypothetical protein	Protein of unknown function DUF2281
